,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
10=20,-0.150000,-0.103193,0.000000,-0.200000,0.050000,-0.399384,-0.265182,-0.100000,-0.301556,-0.305169,-0.048867,0.049197,0.019262,0.212926,0.057282,0.500000,0.200000,0.136377,-0.124227,0.051008,-0.123365,0.053780,-0.287746,-0.082992,0.201982,-0.026266,-0.146604,0.304258,0.120738,0.279041,-0.100289,0.300000,0.056770,0.306826,0.112504,0.216352,0.213752,0.200000,0.200234,0.398641,-0.405169,0.001161,-0.159747,-0.113973,-0.900000,0.100000,0.081354,0.086269,0.206742,-0.106422,0.000000,0.073411,0.050000,-0.050000,-0.500499,0.096807,0.100000,-0.171684,0.100000,0.210881,0.300000,0.098959,0.050000,-0.008259,-0.292755,-0.050000,0.000000,-0.198407,0.193613,-0.126111,-0.143446,0.200000,-0.077147,-0.444774,-0.105295,-0.204057,-0.500000,0.182498,-0.241122,-0.284019,-0.243873,0.021023,0.400000,0.042511,-0.113080,0.059156,-0.339011,-0.074897,-0.281729,0.106291,-0.096052,-0.078977,0.100000,-0.055139,0.036377,0.116352,0.013752,-0.100000,0.100234,0.298641,-0.015635
10=30,-0.146862,-0.101597,0.000000,-0.200000,0.050000,-0.399384,-0.265182,-0.100000,-0.301556,-0.302585,-0.048867,0.049197,0.025203,0.212926,0.088662,0.500000,0.200000,0.126617,-0.084602,0.056153,-0.123365,0.070141,-0.311265,-0.082992,0.201982,0.043877,-0.149449,0.352129,0.158886,0.363563,-0.100289,0.300000,0.096774,0.306826,0.112504,0.219720,0.306876,0.200000,0.224074,0.398641,-0.402585,0.007500,-0.247954,-0.171266,-0.900000,0.100000,0.078720,0.093135,0.103371,-0.103211,0.000000,0.086706,0.057401,-0.046862,-0.500249,0.098403,0.100000,-0.167408,0.100000,0.199484,0.300000,0.099480,0.065845,-0.004130,-0.292755,-0.025194,0.000000,-0.191413,0.161895,-0.113056,-0.143446,0.200000,-0.077147,-0.457944,-0.105295,-0.204057,-0.500000,0.182498,-0.280860,-0.327177,-0.243873,-0.023080,0.400000,0.042511,-0.113080,0.129578,-0.339011,-0.074897,-0.281729,0.106291,-0.123072,-0.123080,0.100000,-0.090070,0.026617,0.119720,0.106876,-0.100000,0.124074,0.298641,-0.013384
10=40,-0.131241,-0.101064,0.000000,-0.200000,0.065269,-0.399384,-0.265182,-0.180251,-0.301556,-0.301723,-0.048867,0.049197,0.027417,0.212926,0.096013,0.500000,0.200000,0.094954,-0.075881,0.057170,-0.123365,0.073674,-0.320997,-0.082992,0.201982,0.075160,-0.150571,0.368086,0.172890,0.391737,-0.100289,0.300000,0.103476,0.306826,0.112504,0.220921,0.337917,0.200000,0.233796,0.398641,-0.401723,-0.001344,-0.277357,-0.195019,-0.900000,0.024603,0.089155,0.095423,0.068914,-0.102141,0.000000,0.091137,0.071601,-0.031241,-0.500166,0.098936,0.100000,-0.168168,0.100000,0.132423,0.300000,0.099653,0.077230,-0.002753,-0.292755,-0.016796,0.000000,-0.189082,0.160610,-0.108704,-0.143446,0.200000,-0.077147,-0.463187,-0.105295,-0.204057,-0.500000,0.182498,-0.294655,-0.339123,-0.243873,-0.030923,0.400000,0.042511,-0.113080,0.153052,-0.339011,-0.074897,-0.281729,0.106291,-0.201964,-0.130923,0.100000,-0.095833,-0.005046,0.120921,0.137917,-0.100000,0.133796,0.298641,-0.015289
10=50,-0.123431,-0.100798,0.000000,-0.200000,0.073952,-0.399384,-0.265182,-0.235188,-0.301556,-0.301292,-0.048867,0.049197,0.028573,0.212926,0.100419,0.500000,0.200000,0.088356,-0.070587,0.057816,-0.123365,0.075951,-0.326317,-0.082992,0.201982,0.090802,-0.151172,0.376065,0.182941,0.405824,-0.100289,0.300000,0.107603,0.306826,0.112504,0.221536,0.353438,0.200000,0.239076,0.398641,-0.401292,-0.006696,-0.292058,-0.204094,-0.900000,-0.031548,0.094373,0.096567,0.051686,-0.101605,0.000000,0.093353,0.078701,-0.023431,-0.500125,0.099202,0.100000,-0.168643,0.100000,0.098893,0.271693,0.099740,0.082922,-0.002065,-0.292755,-0.012597,0.000000,-0.188529,0.159867,-0.106528,-0.143446,0.200000,-0.077147,-0.466005,-0.105295,-0.204057,-0.500000,0.182498,-0.302703,-0.346208,-0.243873,-0.030532,0.400000,0.042511,-0.113080,0.164789,-0.339011,-0.074897,-0.281729,0.106291,-0.241410,-0.130532,0.100000,-0.099384,-0.011644,0.121536,0.153438,-0.100000,0.139076,0.298641,-0.016531
10=60,-0.118745,-0.100639,0.000000,-0.200000,0.079162,-0.399384,-0.265182,-0.268150,-0.301556,-0.301034,-0.048867,0.049197,0.029284,0.212926,0.103492,0.500000,0.200000,0.083666,-0.067031,0.058263,-0.123365,0.077540,-0.329671,-0.082992,0.201982,0.100196,-0.151546,0.380852,0.189419,0.414276,-0.100289,0.300000,0.110399,0.306826,0.112504,0.221911,0.362750,0.200000,0.242392,0.398641,-0.401034,-0.010283,-0.300878,-0.210763,-0.900000,-0.065238,0.097504,0.097254,0.041348,-0.101284,0.000000,0.094682,0.082961,-0.018745,-0.500100,0.099361,0.100000,-0.168969,0.100000,0.078775,0.217354,0.099792,0.086338,-0.001652,-0.292755,-0.010077,0.000000,-0.188925,0.156541,-0.105222,-0.143446,0.200000,-0.077147,-0.467763,-0.105295,-0.204057,-0.500000,0.182498,-0.307977,-0.350898,-0.243873,-0.030923,0.400000,0.042511,-0.113080,0.171831,-0.339011,-0.074897,-0.281729,0.106291,-0.265077,-0.130923,0.100000,-0.101792,-0.016334,0.121911,0.162750,-0.100000,0.142392,0.298641,-0.017722
10=70,-0.115621,-0.100532,0.000000,-0.200000,0.082635,-0.399384,-0.265182,-0.290125,-0.301556,-0.300862,-0.048867,0.049197,0.029765,0.212926,0.105758,0.500000,0.200000,0.080120,-0.064478,0.058590,-0.123365,0.078712,-0.331979,-0.082992,0.201982,0.107053,-0.151802,0.384043,0.193942,0.419911,-0.100289,0.300000,0.112419,0.306826,0.112504,0.222163,0.368959,0.200000,0.244668,0.398641,-0.400862,-0.012855,-0.306759,-0.215871,-0.900000,-0.087699,0.099591,0.097712,0.034457,-0.101070,0.000000,0.095569,0.085800,-0.015621,-0.500083,0.099468,0.100000,-0.169206,0.100000,0.065363,0.181129,0.099827,0.088615,-0.001377,-0.292755,-0.008398,0.000000,-0.189202,0.152864,-0.104352,-0.143446,0.200000,-0.077147,-0.468966,-0.105295,-0.204057,-0.500000,0.182498,-0.311701,-0.354231,-0.243873,-0.031216,0.400000,0.042511,-0.113080,0.176526,-0.339011,-0.074897,-0.281729,0.106291,-0.280855,-0.131216,0.100000,-0.103532,-0.019880,0.122163,0.168959,-0.100000,0.144668,0.298641,-0.018538
10=80,-0.113389,-0.100456,0.000000,-0.200000,0.085115,-0.399384,-0.265182,-0.305822,-0.301556,-0.300738,-0.048867,0.049197,0.030112,0.212926,0.107497,0.500000,0.200000,0.077347,-0.062555,0.058840,-0.123365,0.079612,-0.333664,-0.082992,0.201982,0.112348,-0.151987,0.386323,0.197278,0.423935,-0.100289,0.300000,0.113947,0.306826,0.112504,0.222344,0.373393,0.200000,0.246327,0.398641,-0.400738,-0.014789,-0.310959,-0.219909,-0.900000,-0.103742,0.101082,0.098038,0.029535,-0.100917,0.000000,0.096202,0.087829,-0.013389,-0.500071,0.099544,0.100000,-0.169386,0.100000,0.055782,0.155253,0.099851,0.090241,-0.001180,-0.292755,-0.007198,0.000000,-0.189407,0.150026,-0.103730,-0.143446,0.200000,-0.077147,-0.469840,-0.105295,-0.204057,-0.500000,0.182498,-0.314469,-0.356722,-0.243873,-0.031443,0.400000,0.042511,-0.113080,0.179879,-0.339011,-0.074897,-0.281729,0.106291,-0.292126,-0.131443,0.100000,-0.104848,-0.022653,0.122344,0.173393,-0.100000,0.146327,0.298641,-0.019127
10=90,-0.111715,-0.100399,0.000000,-0.200000,0.086976,-0.399384,-0.265182,-0.317594,-0.301556,-0.300646,-0.048867,0.049197,0.030374,0.212926,0.108875,0.500000,0.200000,0.075118,-0.061056,0.059038,-0.123365,0.080325,-0.334949,-0.082992,0.201982,0.116560,-0.152128,0.388032,0.199841,0.426954,-0.100289,0.300000,0.115143,0.306826,0.112504,0.222480,0.376719,0.200000,0.247590,0.398641,-0.400646,-0.016297,-0.314109,-0.223181,-0.900000,-0.115774,0.102200,0.098284,0.025843,-0.100803,0.000000,0.096676,0.089350,-0.011715,-0.500062,0.099601,0.100000,-0.169528,0.100000,0.048597,0.135847,0.099870,0.091461,-0.001032,-0.292755,-0.006298,0.000000,-0.189565,0.147770,-0.103264,-0.143446,0.200000,-0.077147,-0.470504,-0.105295,-0.204057,-0.500000,0.182498,-0.316609,-0.358655,-0.243873,-0.031625,0.400000,0.042511,-0.113080,0.182395,-0.339011,-0.074897,-0.281729,0.106291,-0.300578,-0.131625,0.100000,-0.105879,-0.024882,0.122480,0.176719,-0.100000,0.147590,0.298641,-0.019573
10=100,-0.110414,-0.100355,0.000000,-0.200000,0.088423,-0.399384,-0.265182,-0.326750,-0.301556,-0.300574,-0.048867,0.049197,0.030580,0.212926,0.109993,0.500000,0.200000,0.073287,-0.059854,0.059197,-0.123365,0.080903,-0.335960,-0.082992,0.201982,0.119990,-0.152238,0.389362,0.201871,0.429302,-0.100289,0.300000,0.116104,0.306826,0.112504,0.222587,0.379306,0.200000,0.248584,0.398641,-0.400574,-0.017504,-0.316560,-0.225886,-0.900000,-0.125132,0.103069,0.098474,0.022971,-0.100714,0.000000,0.097046,0.090534,-0.010414,-0.500055,0.099645,0.100000,-0.169642,0.100000,0.043009,0.120752,0.099884,0.092410,-0.000918,-0.292755,-0.005599,0.000000,-0.189690,0.145932,-0.102901,-0.143446,0.200000,-0.077147,-0.471025,-0.105295,-0.204057,-0.500000,0.182498,-0.318312,-0.360197,-0.243873,-0.031773,0.400000,0.042511,-0.113080,0.184351,-0.339011,-0.074897,-0.281729,0.106291,-0.307153,-0.131773,0.100000,-0.106707,-0.026713,0.122587,0.179306,-0.100000,0.148584,0.298641,-0.019923
20=30,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.399384,-0.265182,-0.100000,-0.301556,-0.300000,-0.048867,0.049197,0.032260,0.212926,0.120739,0.500000,0.200000,0.069727,-0.048926,0.060712,-0.123365,0.086472,-0.344469,-0.082992,0.201982,0.153516,-0.153156,0.400000,0.219385,0.463519,-0.100289,0.300000,0.124954,0.306826,0.112504,0.223449,0.400000,0.200000,0.256907,0.398641,-0.400000,-0.028454,-0.352373,-0.208779,-0.900000,0.100000,0.087387,0.100000,0.000000,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,-0.143446,0.200000,-0.077147,-0.475366,-0.105295,-0.204057,-0.500000,0.182498,-0.333300,-0.373951,-0.243873,-0.033255,0.400000,0.042511,-0.113080,0.200000,-0.339011,-0.074897,-0.281729,0.106291,-0.164440,-0.133255,0.100000,-0.114340,-0.030273,0.123449,0.200000,-0.100000,0.156907,0.298641,-0.011704
