,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
10=20,-0.143724,-0.100000,0.000000,-0.200000,0.050000,0.326263,-0.193354,-0.084248,-0.262333,-0.300000,0.358742,0.500000,0.210972,0.600000,0.241367,0.547578,0.223075,0.263135,0.086087,0.319828,0.235900,0.207958,0.105739,0.112947,0.449398,0.197299,0.137208,0.411558,0.277583,0.463519,0.068234,0.300000,0.292173,0.398928,0.358515,0.357048,0.433038,0.224457,0.308124,0.600000,-0.400000,0.169190,0.400000,-0.208779,-0.827334,0.100000,0.087387,0.100000,0.151330,-0.056051,0.000000,0.123446,0.064803,-0.043724,-0.483071,0.100000,0.100000,-0.019580,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.200000,-0.000387,0.000000,-0.100000,0.602787,-0.076677,0.200000,0.225532,0.041574,-0.121203,0.108552,0.082827,-0.443784,0.226027,0.091038,-0.178769,-0.012717,0.400000,0.428600,0.044655,0.364636,0.200000,-0.122891,0.125601,-0.107700,0.243637,0.056240,0.300000,0.128600,0.189399,0.163135,0.257048,0.233038,-0.075543,0.208124,0.500000,0.124580
10=30,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.035955,-0.225867,-0.092124,-0.262333,-0.300000,0.340100,0.321206,0.175472,0.392155,0.192459,0.523789,0.211538,0.193484,0.034773,0.236343,0.094476,0.157674,-0.081759,0.084510,0.392980,0.177541,0.087595,0.405779,0.260710,0.463519,0.006439,0.300000,0.238079,0.361458,0.281162,0.304654,0.416519,0.212229,0.285531,0.600000,-0.400000,0.133291,0.047627,-0.208779,-0.863667,0.100000,0.087387,0.100000,0.075665,-0.078026,0.000000,0.111723,0.064803,-0.043724,-0.491535,0.100000,0.100000,-0.115880,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.242755,-0.000387,0.000000,-0.140771,0.362556,-0.088339,0.004172,0.212766,0.020380,-0.262745,0.016585,-0.024812,-0.471892,0.205870,-0.083497,-0.258259,-0.098651,0.255621,0.414300,0.043590,0.148294,0.200000,-0.195317,0.052177,-0.159520,0.189473,-0.016553,0.155621,0.114300,0.072999,0.093484,0.204654,0.216519,-0.087771,0.185531,0.500000,0.073529
10=40,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.156695,-0.238118,-0.094749,-0.262333,-0.300000,0.333885,0.196088,0.141978,0.349071,0.171769,0.515859,0.207692,0.163393,0.011723,0.195803,0.045258,0.136830,-0.144258,0.058832,0.368152,0.170071,0.053329,0.403853,0.255086,0.463519,-0.022197,0.300000,0.208801,0.345660,0.244024,0.281779,0.411013,0.208152,0.276769,0.442228,-0.400000,0.116679,-0.101582,-0.208779,-0.875778,0.100000,0.087387,0.100000,0.050443,-0.085350,0.000000,0.107815,0.064803,-0.043724,-0.494357,0.100000,0.100000,-0.154268,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.261837,-0.000387,0.000000,-0.160514,0.261536,-0.092226,-0.009172,0.208511,0.005595,-0.313705,0.006977,-0.068491,-0.481261,0.199151,-0.143041,-0.289992,-0.121102,0.106533,0.409533,0.043232,0.086810,0.200000,-0.231483,0.018115,-0.190524,0.165947,-0.026529,0.006533,0.109533,0.027811,0.063393,0.181779,0.211013,-0.091848,0.176769,0.342228,0.048967
10=50,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.217064,-0.244547,-0.096062,-0.262333,-0.300000,0.330084,0.133529,0.121181,0.318675,0.160344,0.511895,0.205769,0.146314,-0.001373,0.170468,0.014181,0.125426,-0.181479,0.042999,0.354168,0.166144,0.032780,0.402889,0.250433,0.463519,-0.038717,0.300000,0.191562,0.336949,0.220290,0.268959,0.408259,0.206114,0.272114,0.386231,-0.400000,0.090467,-0.176187,-0.208779,-0.881834,0.100000,0.087387,0.100000,0.037833,-0.089013,0.000000,0.105861,0.064803,-0.043724,-0.495768,0.100000,0.100000,-0.162535,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.271378,-0.000387,0.000000,-0.170386,0.213039,-0.094169,-0.032803,0.206383,-0.010085,-0.344960,-0.012566,-0.095053,-0.485946,0.195791,-0.179019,-0.308064,-0.142770,0.031989,0.407150,0.043052,0.053014,0.200000,-0.253105,-0.001547,-0.208980,0.152795,-0.047095,-0.068011,0.107150,0.000187,0.046314,0.168959,0.208259,-0.093886,0.172114,0.286231,0.035427
10=60,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.253286,-0.248509,-0.096850,-0.262333,-0.300000,0.325391,0.095994,0.107012,0.296626,0.153099,0.509516,0.204615,0.133977,-0.009818,0.153135,-0.007223,0.118234,-0.207130,0.032260,0.344609,0.163723,0.019084,0.402312,0.245108,0.463519,-0.049468,0.300000,0.180203,0.331430,0.203813,0.260759,0.406608,0.204891,0.269227,0.364885,-0.400000,0.072274,-0.220949,-0.208779,-0.885467,0.100000,0.087387,0.100000,0.030266,-0.091210,0.000000,0.104689,0.064803,-0.043724,-0.496614,0.100000,0.100000,-0.167495,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.277102,-0.000387,0.000000,-0.176309,0.189053,-0.095335,-0.049731,0.205106,-0.020769,-0.366088,-0.026314,-0.112912,-0.488757,0.193775,-0.203553,-0.319734,-0.157938,-0.012737,0.405720,0.042944,0.028994,0.200000,-0.267487,-0.014346,-0.221223,0.144394,-0.061331,-0.112737,0.105720,-0.018448,0.033977,0.160759,0.206608,-0.095109,0.169227,0.264885,0.026957
10=70,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.277434,-0.251194,-0.097375,-0.262333,-0.300000,0.322053,0.070528,0.096737,0.279901,0.148095,0.507930,0.203846,0.125062,-0.015715,0.140530,-0.022863,0.113283,-0.225805,0.024496,0.329620,0.162081,0.009304,0.401926,0.241342,0.463519,-0.057022,0.300000,0.172154,0.327620,0.191705,0.255063,0.405506,0.204076,0.267261,0.345042,-0.400000,0.058909,-0.250791,-0.208779,-0.887889,0.100000,0.087387,0.100000,0.025222,-0.092675,0.000000,0.103908,0.064803,-0.043724,-0.497178,0.100000,0.100000,-0.181173,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.280918,-0.000387,0.000000,-0.180257,0.170703,-0.096113,-0.062454,0.204255,-0.028517,-0.381324,-0.036511,-0.125743,-0.490631,0.192432,-0.221355,-0.327892,-0.169148,-0.042554,0.404767,0.042872,0.011043,0.200000,-0.277744,-0.023342,-0.229939,0.138564,-0.071769,-0.142554,0.104767,-0.031868,0.025062,0.155063,0.205506,-0.095924,0.167261,0.245042,0.020696
10=80,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.294683,-0.253134,-0.097750,-0.262333,-0.300000,0.319557,0.050119,0.088946,0.266779,0.144431,0.506797,0.203296,0.118320,-0.020067,0.130951,-0.034791,0.109668,-0.240009,0.018623,0.318237,0.160894,0.001970,0.401651,0.238538,0.463519,-0.062622,0.300000,0.166152,0.324832,0.182433,0.250875,0.404720,0.203494,0.265837,0.328686,-0.400000,0.048675,-0.272107,-0.208779,-0.889619,0.100000,0.087387,0.100000,0.021619,-0.093722,0.000000,0.103349,0.064803,-0.043724,-0.497582,0.100000,0.100000,-0.195803,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.283644,-0.000387,0.000000,-0.183078,0.156212,-0.096668,-0.072365,0.203647,-0.034392,-0.392831,-0.044377,-0.135407,-0.491969,0.191472,-0.234862,-0.333916,-0.177771,-0.063852,0.404086,0.042821,-0.002880,0.200000,-0.285428,-0.030011,-0.236461,0.134282,-0.079750,-0.163852,0.104086,-0.041992,0.018320,0.150875,0.204720,-0.096506,0.165837,0.228686,0.015933
10=90,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.307619,-0.254602,-0.098031,-0.262333,-0.300000,0.317621,0.033492,0.082835,0.256209,0.141633,0.505947,0.202884,0.113043,-0.023411,0.123424,-0.044187,0.106912,-0.251177,0.014024,0.309300,0.159996,-0.003734,0.401445,0.236369,0.463519,-0.066938,0.300000,0.161504,0.322703,0.175104,0.247668,0.404130,0.203057,0.264756,0.314973,-0.400000,0.040588,-0.288093,-0.208779,-0.890917,0.100000,0.087387,0.100000,0.018916,-0.094506,0.000000,0.102931,0.064803,-0.043724,-0.497884,0.100000,0.100000,-0.207815,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.285689,-0.000387,0.000000,-0.185193,0.144478,-0.097085,-0.080304,0.203191,-0.039001,-0.401830,-0.050628,-0.142948,-0.492973,0.190752,-0.245460,-0.338546,-0.184610,-0.079826,0.403575,0.042782,-0.013995,0.200000,-0.291400,-0.035152,-0.241523,0.131002,-0.086050,-0.179826,0.103575,-0.049903,0.013043,0.147668,0.204130,-0.096943,0.164756,0.214973,0.012203
10=100,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.317681,-0.255751,-0.098250,-0.262333,-0.300000,0.316074,0.019685,0.077913,0.247512,0.139425,0.505286,0.202564,0.108799,-0.026060,0.117355,-0.051782,0.104741,-0.260187,0.010325,0.302096,0.159293,-0.008296,0.401284,0.234641,0.463519,-0.070367,0.300000,0.157798,0.321025,0.169165,0.245132,0.403671,0.202717,0.263909,0.303309,-0.400000,0.034035,-0.300527,-0.208779,-0.891926,0.100000,0.087387,0.100000,0.016814,-0.095117,0.000000,0.102605,0.064803,-0.043724,-0.498119,0.100000,0.100000,-0.217855,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.287279,-0.000387,0.000000,-0.186838,0.134782,-0.097409,-0.086806,0.202837,-0.042713,-0.409059,-0.055716,-0.148996,-0.493754,0.190192,-0.253998,-0.342217,-0.190166,-0.095038,0.403178,0.042752,-0.023073,0.200000,-0.296174,-0.039237,-0.245567,0.128411,-0.091150,-0.195038,0.103178,-0.056254,0.008799,0.145132,0.203671,-0.097283,0.163909,0.203309,0.009144
20=30,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.399384,-0.265182,-0.100000,-0.262333,-0.300000,0.302266,0.158802,0.032260,0.255659,0.120739,0.500000,0.200000,0.069727,-0.048926,0.060712,-0.123365,0.086472,-0.344469,-0.023764,0.235019,0.153516,-0.049341,0.400000,0.219385,0.463519,-0.100289,0.300000,0.124954,0.306826,0.112504,0.223449,0.400000,0.200000,0.256907,0.600000,-0.400000,-0.028454,-0.304747,-0.208779,-0.900000,0.100000,0.087387,0.100000,0.000000,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.150576,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.285510,-0.000387,0.000000,-0.181543,0.190934,-0.100000,-0.135155,0.200000,-0.077147,-0.475366,-0.105295,-0.204057,-0.500000,0.182498,-0.333300,-0.373951,-0.243873,0.125132,0.400000,0.042511,-0.113080,0.200000,-0.339011,-0.074897,-0.281729,0.106291,-0.164440,0.025132,0.100000,-0.114340,-0.030273,0.123449,0.200000,-0.100000,0.156907,0.500000,0.004433
