,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
10=20,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.232952,0.014746,-0.035017,0.399461,-0.287228,0.400000,0.297350,0.194013,0.392990,0.243325,0.549556,0.234565,0.471366,0.160664,0.211274,0.244474,0.455412,0.065584,0.200000,0.700000,0.241713,0.300000,0.447592,0.262727,0.488988,0.097989,0.343087,0.290280,0.412492,0.295160,0.399789,0.413697,0.248517,0.256907,0.533535,-0.387228,0.118387,0.289543,-0.153912,-0.862951,0.109173,0.179240,0.126611,0.728943,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.450881,0.100000,0.100000,-0.170710,0.100000,0.237107,0.328427,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.278667,-0.100000,0.047349,0.207760,0.033923,-0.184059,0.025998,0.251508,-0.485442,0.243681,-0.088141,-0.257409,-0.024356,0.273454,0.406040,0.079374,0.272669,0.256950,-0.071683,0.205758,-0.133677,0.292571,-0.054940,0.173454,0.106040,0.154922,0.371366,0.299789,0.213697,-0.051483,0.156907,0.433535,0.127632
10=30,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.315563,-0.094782,-0.067509,0.068128,-0.293614,0.351133,0.233539,0.141806,0.345418,0.193847,0.524778,0.217283,0.305104,0.097980,0.151562,0.098509,0.283169,-0.101836,0.024385,0.467896,0.226600,0.116913,0.423796,0.253282,0.480335,0.048673,0.321544,0.231746,0.374084,0.250756,0.361149,0.406849,0.224259,0.256907,0.494160,-0.393614,0.060150,-0.010009,-0.178671,-0.881475,0.104586,0.170175,0.113305,0.364472,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.475440,0.100000,0.100000,-0.170710,0.100000,0.201331,0.314213,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.245325,-0.100000,0.003091,0.203880,0.016554,-0.294857,0.007455,0.047267,-0.492721,0.214697,-0.182144,-0.307511,-0.099353,0.172127,0.403020,0.068525,0.115381,0.228475,-0.159529,0.106901,-0.189894,0.244628,-0.091238,0.072127,0.103020,0.055875,0.205104,0.261149,0.206849,-0.075741,0.156907,0.394160,0.074853
10=40,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.343100,-0.115895,-0.078339,-0.054467,-0.295743,0.100755,0.188804,0.113342,0.324299,0.172825,0.516519,0.211522,0.247845,0.070014,0.125763,0.048894,0.246302,-0.159341,-0.009617,0.387884,0.208309,-0.004564,0.415864,0.243615,0.477451,0.013082,0.314362,0.203614,0.355377,0.217113,0.327993,0.404566,0.216172,0.256907,0.471059,-0.395743,0.034988,-0.109860,-0.188033,-0.887650,0.103058,0.147923,0.108870,0.242981,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.483627,0.100000,0.100000,-0.170710,0.100000,0.187139,0.309476,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.214204,-0.100000,-0.027496,0.202587,-0.005478,-0.340972,-0.019576,-0.009920,-0.495147,0.205035,-0.223819,-0.327487,-0.123385,0.144767,0.402013,0.064908,0.065774,0.218983,-0.200477,0.064030,-0.215168,0.210750,-0.105748,0.044767,0.102013,0.013207,0.147845,0.227993,0.204566,-0.083828,0.156907,0.371059,0.051260
10=50,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.356868,-0.128266,-0.083754,-0.115765,-0.296807,-0.024433,0.161541,0.096619,0.312369,0.161192,0.512389,0.208641,0.217967,0.048589,0.111376,0.017413,0.219167,-0.194881,-0.029086,0.351480,0.197029,-0.065302,0.411898,0.238188,0.475423,-0.008782,0.310772,0.187214,0.344812,0.196639,0.307705,0.403424,0.212129,0.256907,0.456956,-0.396807,0.020957,-0.159785,-0.192954,-0.890738,0.102293,0.135098,0.106653,0.182236,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.487720,0.100000,0.100000,-0.170710,0.100000,0.179525,0.307107,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.196132,-0.100000,-0.046946,0.201940,-0.019680,-0.368320,-0.036152,-0.042941,-0.496361,0.200205,-0.247480,-0.338227,-0.144831,0.114357,0.401510,0.060173,0.033866,0.214237,-0.226212,0.037520,-0.229533,0.190201,-0.113560,0.014357,0.101510,-0.012357,0.117967,0.207705,0.203424,-0.087871,0.156907,0.356956,0.037727
10=60,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.365129,-0.144182,-0.087003,-0.152544,-0.297446,-0.099547,0.143186,0.085615,0.304702,0.153807,0.509911,0.206913,0.197475,0.033704,0.102200,-0.004340,0.199908,-0.218972,-0.049264,0.325255,0.189601,-0.101746,0.409518,0.234747,0.473211,-0.023576,0.308617,0.176472,0.338023,0.182868,0.294012,0.402739,0.209703,0.256907,0.447450,-0.397446,0.012008,-0.189741,-0.195988,-0.892590,0.101835,0.126758,0.105322,0.145789,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.490176,0.100000,0.100000,-0.170710,0.100000,0.174776,0.305685,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.184324,-0.100000,-0.060299,0.201552,-0.029184,-0.386419,-0.047356,-0.066362,-0.497088,0.197306,-0.262732,-0.344934,-0.159796,0.092312,0.401208,0.056964,0.011620,0.211390,-0.243883,0.019506,-0.238798,0.176408,-0.118977,-0.007688,0.101208,-0.029385,0.097475,0.194012,0.202739,-0.090297,0.156907,0.347450,0.028726
10=70,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.370637,-0.159201,-0.089170,-0.177063,-0.297871,-0.149622,0.129987,0.077824,0.295080,0.148702,0.508259,0.205761,0.182548,0.022762,0.095838,-0.020269,0.185530,-0.236380,-0.064814,0.305463,0.184339,-0.126928,0.407932,0.232371,0.471692,-0.034252,0.307181,0.168892,0.333293,0.172970,0.284147,0.402283,0.208086,0.256907,0.440609,-0.397871,0.005803,-0.209711,-0.198045,-0.893825,0.101529,0.120899,0.104435,0.121491,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.491813,0.100000,0.100000,-0.170710,0.100000,0.171531,0.304738,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.176004,-0.100000,-0.070034,0.201293,-0.035991,-0.399284,-0.055436,-0.083838,-0.497574,0.195374,-0.273380,-0.349521,-0.170833,0.075996,0.401007,0.054743,-0.004777,0.209492,-0.256768,0.006467,-0.245270,0.166509,-0.125749,-0.024004,0.101007,-0.041540,0.082548,0.184147,0.202283,-0.091914,0.156907,0.340609,0.022243
10=80,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.374570,-0.170903,-0.090717,-0.194576,-0.298175,-0.185391,0.120038,0.072019,0.285231,0.144963,0.507079,0.204938,0.171189,0.014379,0.091168,-0.032439,0.174388,-0.249547,-0.077164,0.289995,0.180416,-0.146981,0.406799,0.230631,0.470585,-0.042320,0.306155,0.163256,0.329809,0.165514,0.276702,0.401957,0.206931,0.256907,0.435450,-0.398175,0.001249,-0.223975,-0.199533,-0.894707,0.101310,0.116559,0.103802,0.104135,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.492983,0.100000,0.100000,-0.170710,0.100000,0.169174,0.304061,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.169825,-0.100000,-0.077445,0.201109,-0.041106,-0.408897,-0.061538,-0.097377,-0.497920,0.193994,-0.281237,-0.352856,-0.179308,0.063433,0.400863,0.053113,-0.017362,0.208136,-0.266578,-0.003406,-0.250046,0.159060,-0.130766,-0.036567,0.100863,-0.050652,0.071189,0.176702,0.201957,-0.093069,0.156907,0.335450,0.017355
10=90,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.377521,-0.180278,-0.091877,-0.207712,-0.298404,-0.212217,0.112271,0.067525,0.277491,0.142105,0.506195,0.204321,0.162256,0.007751,0.087594,-0.042038,0.165498,-0.259855,-0.087211,0.277575,0.177379,-0.163302,0.405949,0.229303,0.469742,-0.048631,0.305386,0.158902,0.327135,0.159695,0.270884,0.401712,0.206065,0.256907,0.431421,-0.398404,-0.002237,-0.234673,-0.200658,-0.895369,0.101147,0.113213,0.103326,0.091118,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.493860,0.100000,0.100000,-0.170710,0.100000,0.167383,0.303553,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.165056,-0.100000,-0.083275,0.200970,-0.045090,-0.416353,-0.066309,-0.108175,-0.498180,0.192959,-0.287272,-0.355389,-0.186021,0.053461,0.400755,0.051866,-0.027327,0.207119,-0.274298,-0.011143,-0.253716,0.153250,-0.134631,-0.046539,0.100755,-0.057737,0.062256,0.170884,0.201712,-0.093935,0.156907,0.331421,0.013550
10=100,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.379816,-0.187957,-0.092780,-0.217928,-0.298581,-0.233082,0.106039,0.063945,0.271248,0.139851,0.505506,0.203841,0.155047,0.002380,0.084770,-0.049804,0.158241,-0.268143,-0.095543,0.267382,0.174958,-0.176844,0.405288,0.228255,0.469079,-0.053702,0.304787,0.155437,0.325019,0.155027,0.266212,0.401522,0.205391,0.256907,0.428186,-0.398581,-0.004990,-0.242994,-0.201540,-0.895883,0.101019,0.110556,0.102957,0.080994,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.494542,0.100000,0.100000,-0.170710,0.100000,0.165977,0.303159,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.161263,-0.100000,-0.087983,0.200862,-0.048281,-0.422306,-0.070142,-0.116989,-0.498382,0.192154,-0.292053,-0.357380,-0.191469,0.045354,0.400671,0.050882,-0.035413,0.206328,-0.280530,-0.017369,-0.256624,0.148593,-0.137700,-0.054646,0.100671,-0.063404,0.055047,0.166212,0.201522,-0.094609,0.156907,0.328186,0.010501
20=30,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.399384,-0.265182,-0.100000,-0.262333,-0.300000,0.302266,0.049197,0.032260,0.212926,0.120739,0.500000,0.200000,0.069727,-0.048926,0.060712,-0.123365,0.086472,-0.344469,-0.023764,0.235019,0.153516,-0.049341,0.400000,0.219385,0.463519,-0.100289,0.300000,0.124954,0.306826,0.112504,0.223449,0.400000,0.200000,0.256907,0.398641,-0.400000,-0.028454,-0.352373,-0.208779,-0.900000,0.100000,0.087387,0.100000,0.000000,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.154284,0.300000,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,-0.143446,0.200000,-0.077147,-0.475366,-0.105295,-0.204057,-0.500000,0.182498,-0.333300,-0.373951,-0.243873,-0.033255,0.400000,0.042511,-0.113080,0.200000,-0.339011,-0.074897,-0.281729,0.106291,-0.164440,-0.133255,0.100000,-0.114340,-0.030273,0.123449,0.200000,-0.100000,0.156907,0.298641,-0.005840
