,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
10=20,-0.121862,-0.1,0,-0.2,0.072904,-0.3,-0.284355,-0.329937,-0.280887,-0.3,-0.256108,-0.1258,-0.238249,-0.030373,-0.139894,0,-0.3,-0.014458,-0.335561,-0.14847,-0.260481,-0.121463,-0.377781,-0.403454,0.04923,-0.218982,-0.327145,-0.030502,-0.211516,-0.005212,-0.342898,-0.197412,-0.139292,-0.027596,-0.141071,-0.039507,-0.004368,-0.3,-0.120442,0.183098,-0.4,0,-0.294047,-0.206808,-0.9,-0.131151,0.085841,0.1,0.1,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.270566,0.1,0.004875,0.05,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.112786,-0.1,-0.432658,-0.3,-0.425307,-0.567909,-0.429328,-0.357722,-0.5,-0.3025,-0.376186,-0.3,-0.534839,-0.08121,-0.1,-0.408213,-0.259011,-0.200406,-0.54843,-0.253557,-0.540247,-0.141958,-0.308957,-0.18121,-0.4,-0.259191,-0.114458,-0.139507,-0.204368,-0.6,-0.220442,0.083098,-0.181558
10=30,-0.121862,-0.1,0,-0.2,0.072904,-0.3,-0.284355,-0.296299,-0.280887,-0.3,-0.256108,-0.1258,-0.185335,0.050751,-0.07829,0.236687,-0.217577,0.017199,-0.227116,-0.066858,-0.260481,-0.030037,-0.377781,-0.271247,0.11257,-0.067003,-0.188708,0.184749,-0.079715,0.137076,-0.342898,0.051294,-0.064958,-0.027596,-0.077573,-0.019992,0.197816,-0.127856,-0.120442,0.242569,-0.4,0,-0.294047,-0.206808,-0.9,-0.131151,0.085841,0.1,0.1,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.270566,0.1,0.004875,0.127291,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.112786,-0.1,-0.372959,-0.251428,-0.364798,-0.567909,-0.388592,-0.357722,-0.5,-0.180995,-0.376186,-0.3,-0.477387,-0.090211,0.123494,-0.405078,-0.219128,-0.000203,-0.54843,-0.253557,-0.540247,-0.141958,-0.270926,-0.190211,-0.176506,-0.190453,-0.082801,-0.119992,-0.002184,-0.427856,-0.220442,0.142569,-0.137494
10=40,-0.121862,-0.1,0,-0.2,0.072904,-0.3,-0.284355,-0.270179,-0.280887,-0.3,-0.203948,0.020435,-0.133662,0.080629,-0.029352,0.324458,-0.078384,0.018225,-0.174795,-0.037184,-0.190579,-0.004149,-0.313825,-0.251493,0.154044,-0.008595,-0.192242,0.256499,0.006295,0.237599,-0.282764,0.134196,-0.012332,0.047926,-0.030598,0.041288,0.265211,-0.018571,-0.053877,0.277763,-0.4,0,-0.269366,-0.206808,-0.9,-0.127971,0.085841,0.1,0.098339,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.270566,0.1,0.066605,0.184861,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.112786,-0.1,-0.321167,-0.100952,-0.282676,-0.489298,-0.319529,-0.28126,-0.5,-0.064316,-0.305928,-0.3,-0.419072,-0.094539,0.215662,-0.275115,-0.164969,0.066531,-0.476222,-0.194102,-0.466211,-0.084537,-0.281313,-0.194539,-0.084338,-0.170049,-0.081775,-0.058712,0.065211,-0.318571,-0.153877,0.177763,-0.099527
10=50,-0.121862,-0.1,0,-0.2,0.072904,-0.324846,-0.228734,-0.261078,-0.233055,-0.3,-0.151381,0.012162,-0.095677,0.095522,0.003838,0.368343,-0.008788,0.024373,-0.154141,-0.022359,-0.169867,0.011305,-0.325757,-0.227037,0.146044,0.02061,-0.198302,0.292375,0.049299,0.287861,-0.254853,0.175647,0.013987,0.103153,-0.000094,0.081462,0.298908,0.036072,0.012436,0.300005,-0.4,-0.007114,-0.288725,-0.194659,-0.9,-0.10302,0.089626,0.1,0.073754,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.235203,0.1,0.059708,0.213645,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.168091,-0.1,-0.283048,-0.025714,-0.241615,-0.491296,-0.274724,-0.265028,-0.5,-0.005976,-0.318151,-0.318488,-0.381034,-0.084998,0.261747,-0.204262,-0.173047,0.099899,-0.452864,-0.162497,-0.431459,-0.055465,-0.28026,-0.184998,-0.038253,-0.172714,-0.075627,-0.018538,0.098908,-0.263928,-0.087564,0.200005,-0.080588
10=60,-0.109715,-0.1,0,-0.2,0.072904,-0.339877,-0.241537,-0.255684,-0.244774,-0.3,-0.138398,0.007198,-0.078268,0.108831,0.018379,0.394675,0.032969,0.028624,-0.139423,-0.011433,-0.176162,0.022256,-0.332916,-0.212468,0.142866,0.0387,-0.201938,0.3139,0.075102,0.318017,-0.225055,0.200518,0.028385,0.136289,0.013972,0.105893,0.319126,0.068857,0.052224,0.315333,-0.4,-0.025691,-0.30034,-0.208219,-0.9,-0.091243,0.105757,0.097198,0.059003,-0.1,0,0.093509,0.094348,-0.009715,-0.503699,0.1,0.1,-0.177971,0.1,0.054262,0.230916,0.1,0.098975,0,-0.260959,-0.000194,0,-0.153537,0.154837,-0.10625,-0.262738,0.019429,-0.216978,-0.497854,-0.247841,-0.270788,-0.515661,0.029028,-0.325485,-0.33479,-0.360986,-0.078003,0.289397,-0.16175,-0.169727,0.119919,-0.436367,-0.158608,-0.403143,-0.024886,-0.277061,-0.178003,-0.010603,-0.165437,-0.071376,0.005893,0.119126,-0.231143,-0.047776,0.215333,-0.069905
10=70,-0.097817,-0.1,0,-0.2,0.090946,-0.349897,-0.250073,-0.251553,-0.252587,-0.308759,-0.142564,0.003889,-0.066278,0.119144,0.029702,0.412229,0.060808,0.031738,-0.128317,-0.003047,-0.177694,0.030422,-0.337689,-0.201648,0.149294,0.053073,-0.204363,0.32825,0.092304,0.338122,-0.209201,0.217098,0.039477,0.15838,0.024915,0.117925,0.332605,0.090715,0.078749,0.326539,-0.408759,-0.038076,-0.308084,-0.217273,-0.909484,-0.07728,0.104504,0.080998,0.049169,-0.111507,0,0.077924,0.105298,0.002183,-0.519749,0.1,0.1,-0.175918,0.1,0.050631,0.24243,0.1,0.103045,0,-0.273586,-0.000194,0,-0.164963,0.146001,-0.121875,-0.250022,0.049524,-0.200558,-0.502227,-0.230259,-0.26459,-0.529718,0.052364,-0.330374,-0.345658,-0.348113,-0.072616,0.307831,-0.133409,-0.163782,0.133266,-0.4269,-0.152379,-0.390454,-0.006548,-0.274662,-0.172616,0.007831,-0.159773,-0.068262,0.017925,0.132605,-0.209285,-0.021251,0.226539,-0.064453
10=80,-0.09186,-0.104976,-0.002257,-0.211564,0.100183,-0.357055,-0.25617,-0.248288,-0.258168,-0.321793,-0.134905,0.001526,-0.056634,0.127371,0.03877,0.424768,0.080692,0.034119,-0.11964,0.003592,-0.172973,0.036745,-0.341098,-0.193297,0.154459,0.064248,-0.202676,0.3385,0.104591,0.352483,-0.199845,0.228941,0.048283,0.17416,0.03367,0.127723,0.342233,0.106327,0.097695,0.335087,-0.421793,-0.046922,-0.313615,-0.22374,-0.922415,-0.067307,0.098614,0.069427,0.042145,-0.124149,-0.011564,0.066792,0.109718,0.00814,-0.531214,0.095024,0.097743,-0.181463,0.092919,0.048038,0.250655,0.1,0.095026,-0.004144,-0.282605,-0.011034,0,-0.173125,0.139689,-0.133036,-0.239828,0.071021,-0.188178,-0.503795,-0.218257,-0.259211,-0.539758,0.069033,-0.333866,-0.353422,-0.33779,-0.068387,0.320998,-0.113165,-0.158966,0.142799,-0.419111,-0.145792,-0.380649,0.003081,-0.272795,-0.168387,0.020998,-0.155239,-0.065881,0.027723,0.142233,-0.193673,-0.002305,0.235087,-0.061367
10=90,-0.088408,-0.116854,-0.014475,-0.222618,0.105414,-0.362423,-0.260743,-0.245641,-0.262353,-0.331569,-0.128403,-0.000247,-0.04871,0.134086,0.046195,0.434172,0.095606,0.035997,-0.112672,0.008979,-0.169007,0.041786,-0.343655,-0.186655,0.1587,0.073185,-0.198676,0.346187,0.113807,0.363253,-0.19197,0.237824,0.055444,0.185645,0.040834,0.135856,0.349454,0.118036,0.111905,0.341823,-0.431569,-0.053557,-0.317763,-0.228591,-0.932113,-0.060491,0.094197,0.060748,0.036877,-0.13363,-0.022618,0.058443,0.10504,0.011592,-0.539812,0.083146,0.085525,-0.185621,0.081304,0.050329,0.256823,0.091874,0.089011,-0.016126,-0.28937,-0.021986,-0.006598,-0.179246,0.134956,-0.141406,-0.231474,0.087143,-0.178055,-0.501485,-0.208359,-0.254709,-0.547288,0.081534,-0.336485,-0.359244,-0.329328,-0.064978,0.330873,-0.097982,-0.154986,0.149949,-0.41259,-0.140237,-0.372466,0.011195,-0.271302,-0.164978,0.030873,-0.151528,-0.064003,0.035856,0.149454,-0.181964,0.011905,0.241823,-0.059644
10=100,-0.091736,-0.126093,-0.023978,-0.231216,0.10878,-0.366598,-0.264299,-0.243453,-0.265608,-0.339172,-0.122815,-0.001626,-0.042083,0.139671,0.052387,0.441486,0.107205,0.037516,-0.106954,0.013438,-0.165628,0.0459,-0.345644,-0.179973,0.162244,0.080495,-0.195392,0.352166,0.120974,0.37163,-0.185249,0.244732,0.061381,0.194886,0.046804,0.142715,0.35507,0.127143,0.122957,0.347268,-0.439172,-0.058717,-0.320989,-0.232363,-0.939656,-0.057305,0.090762,0.053999,0.03278,-0.141005,-0.031216,0.05195,0.101402,0.008264,-0.5465,0.073907,0.076022,-0.188855,0.072271,0.052764,0.26162,0.081666,0.084333,-0.025445,-0.294631,-0.030505,-0.016976,-0.184007,0.131274,-0.147917,-0.224502,0.099683,-0.169624,-0.499522,-0.200056,-0.250887,-0.553145,0.091258,-0.338522,-0.363772,-0.322264,-0.062172,0.338554,-0.086174,-0.151641,0.15551,-0.407051,-0.135489,-0.365533,0.018126,-0.27008,-0.162172,0.038554,-0.148434,-0.062484,0.042715,0.15507,-0.172857,0.022957,0.247268,-0.058396
20=30,-0.121862,-0.1,0,-0.2,0.072904,-0.3,-0.284355,-0.257367,-0.280887,-0.3,-0.256108,-0.1258,-0.154251,0.060107,-0.033023,0.473374,-0.135153,0.062831,-0.087918,-0.018571,-0.260481,0.086472,-0.377781,-0.254337,0.128163,0.153516,-0.188116,0.4,0.068651,0.28831,-0.342898,0.3,0.011098,-0.027596,-0.031011,-0.004121,0.4,0.044287,-0.120442,0.398641,-0.4,0,-0.294047,-0.206808,-0.9,-0.131151,0.085841,0.1,0.1,-0.1,0,0.1,0.082401,-0.021862,-0.5,0.1,0.1,-0.270566,0.1,0.004875,0.204582,0.1,0.090845,0,-0.292755,-0.000194,0,-0.190771,0.112786,-0.1,-0.343818,-0.202856,-0.279189,-0.567909,-0.362824,-0.357722,-0.5,-0.054847,-0.376186,-0.3,-0.428697,-0.033255,0.346987,-0.402064,-0.192027,0.2,-0.54843,-0.253557,-0.540247,-0.141958,-0.272361,-0.133255,0.046987,-0.16966,-0.037169,-0.104121,0.2,-0.255713,-0.220442,0.298641,-0.094262
