,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
10=20,-0.143724,-0.100000,0.000000,-0.200000,0.050000,0.269675,0.119020,-0.027831,0.302720,-0.300000,0.058950,0.419800,0.300000,0.507084,0.400000,0.500000,0.200000,0.471804,0.200000,0.400000,0.300000,0.400000,0.200000,0.117998,0.603824,0.300000,0.218672,0.400000,0.300000,0.500000,0.200000,0.300000,0.400000,0.500000,0.400000,0.500000,0.400000,0.200000,0.400000,0.559508,-0.400000,-0.028454,-0.352373,-0.061691,-0.900000,0.105925,0.087387,0.100000,0.182252,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.410071,0.348347,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,0.101268,0.200000,0.100000,0.000000,0.100000,0.200000,-0.451010,0.200000,0.200000,0.019023,0.000000,0.327414,0.400000,0.100000,0.300000,0.200000,0.000000,0.300000,0.000000,0.400000,0.089270,0.227414,0.100000,0.300000,0.371804,0.400000,0.200000,-0.100000,0.300000,0.459508,0.145398
10=30,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.064249,-0.071995,-0.063916,0.027008,-0.300000,0.013466,0.299914,0.300000,0.507084,0.400000,0.500000,0.200000,0.364347,0.200000,0.400000,0.226635,0.400000,0.005531,0.117998,0.527115,0.300000,0.101679,0.400000,0.300000,0.500000,0.200000,0.300000,0.400000,0.500000,0.400000,0.500000,0.400000,0.200000,0.400000,0.559508,-0.400000,-0.028454,-0.352373,-0.103325,-0.900000,0.102962,0.087387,0.100000,0.091126,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.256276,0.324173,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,0.101268,0.200000,0.100000,-0.125366,0.100000,0.145943,-0.475505,0.200000,0.016700,-0.165502,0.000000,0.196315,0.400000,0.100000,0.236920,0.200000,0.000000,0.275103,0.000000,0.400000,-0.047525,0.096315,0.100000,0.235660,0.264347,0.400000,0.200000,-0.100000,0.300000,0.459508,0.114245
10=40,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.175557,-0.159309,-0.075944,-0.099384,-0.300000,-0.005028,0.175587,0.121507,0.312754,0.213826,0.500000,0.200000,0.194691,0.034049,0.173808,0.017757,0.190981,-0.162979,-0.013172,0.337023,0.202344,-0.026374,0.400000,0.246257,0.475680,-0.000193,0.300000,0.216636,0.371218,0.208336,0.315633,0.400000,0.200000,0.304605,0.417924,-0.400000,-0.028454,-0.352373,-0.128537,-0.900000,0.101975,0.087387,0.100000,0.060751,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.244571,0.316116,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,-0.061473,0.200000,-0.018098,-0.316911,-0.036863,-0.069371,-0.483670,0.188332,-0.155534,-0.226542,-0.162582,0.091977,0.400000,0.061674,0.024613,0.200000,-0.226007,0.050069,-0.187820,0.204194,-0.058798,-0.008023,0.100000,0.023773,0.094691,0.215633,0.200000,-0.100000,0.204605,0.317924,0.040623
10=50,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.231211,-0.199813,-0.081958,-0.162580,-0.300000,-0.015059,0.113423,-0.008870,0.209386,0.085370,0.410540,0.074015,0.109863,-0.099463,0.055356,-0.086683,0.068236,-0.247234,-0.106941,0.241977,0.051758,-0.090401,0.264962,0.084692,0.306760,-0.125145,0.300000,0.087477,0.228413,0.081252,0.186725,0.243040,0.069627,0.153454,0.398641,-0.400000,-0.028454,-0.352373,-0.144019,-0.900000,0.101481,0.087387,0.100000,0.045563,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.226188,0.312087,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,-0.191157,0.114625,-0.163574,-0.412683,-0.177648,-0.177029,-0.487752,0.016249,-0.241650,-0.253280,-0.296936,0.039808,0.331828,-0.103745,-0.081540,0.064768,-0.344505,-0.062448,-0.315865,0.078146,-0.070379,-0.060192,0.031828,-0.082170,0.009863,0.086725,0.043040,-0.230373,0.053454,0.298641,-0.024841
10=60,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.264604,-0.221318,-0.085566,-0.200498,-0.300000,-0.021354,0.076125,-0.087096,0.147365,0.008296,0.288432,-0.040788,0.058967,-0.179571,-0.015715,-0.149346,-0.005411,-0.297788,-0.163203,0.184950,-0.038594,-0.128817,0.151969,-0.012246,0.205408,-0.200116,0.187565,0.009982,0.142731,0.005002,0.109380,0.134432,-0.044298,0.062763,0.398641,-0.400000,-0.028454,-0.352373,-0.154494,-0.900000,0.101185,0.087387,0.100000,0.036450,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.207862,0.309669,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,-0.268968,-0.008300,-0.250859,-0.470146,-0.262118,-0.241623,-0.490202,-0.087001,-0.293320,-0.271587,-0.377549,0.008506,0.205462,-0.202996,-0.145232,-0.048185,-0.415604,-0.129959,-0.392692,0.002516,-0.086989,-0.091494,-0.094538,-0.145736,-0.041033,0.009380,-0.065568,-0.344298,-0.037237,0.298641,-0.070334
10=70,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.286865,-0.237837,-0.087972,-0.225776,-0.300000,-0.025673,0.051260,-0.139247,0.106018,-0.043087,0.207026,-0.117323,0.025036,-0.232975,-0.063096,-0.191122,-0.054509,-0.331490,-0.200710,0.146931,-0.098828,-0.154427,0.076641,-0.076872,0.137840,-0.250096,0.089637,-0.041682,0.085609,-0.045832,0.057816,0.062027,-0.120249,0.002302,0.386472,-0.400000,-0.028454,-0.352373,-0.162052,-0.900000,0.100987,0.087387,0.100000,0.030375,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.193881,0.308058,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,-0.320841,-0.090250,-0.309049,-0.508455,-0.318432,-0.284686,-0.491835,-0.155834,-0.327767,-0.285071,-0.431291,-0.013095,0.121218,-0.269163,-0.187693,-0.123488,-0.463004,-0.174966,-0.443910,-0.047903,-0.099527,-0.113095,-0.178782,-0.188113,-0.074964,-0.042184,-0.137973,-0.420249,-0.097698,0.286472,-0.101225
10=80,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.302766,-0.250923,-0.089690,-0.243832,-0.300000,-0.028820,0.033499,-0.176497,0.076484,-0.079789,0.148880,-0.171992,0.000799,-0.271122,-0.096940,-0.220961,-0.089580,-0.355563,-0.227502,0.119775,-0.141853,-0.172721,0.022835,-0.123033,0.089577,-0.285797,0.019689,-0.078584,0.044808,-0.082142,0.020986,0.010309,-0.174499,-0.040884,0.376481,-0.400000,-0.028454,-0.352373,-0.167762,-0.900000,0.100846,0.087387,0.100000,0.026036,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.182864,0.306907,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,-0.357894,-0.148786,-0.350613,-0.535819,-0.358656,-0.315445,-0.493001,-0.205001,-0.352372,-0.295416,-0.469678,-0.030250,0.061044,-0.316425,-0.218023,-0.177275,-0.496860,-0.207113,-0.480494,-0.083917,-0.109326,-0.130250,-0.238956,-0.218383,-0.099201,-0.079014,-0.189691,-0.474499,-0.140884,0.276481,-0.123392
10=90,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.314692,-0.261546,-0.090979,-0.257374,-0.300000,-0.031215,0.018777,-0.204435,0.054334,-0.107315,0.105270,-0.212993,-0.017378,-0.299732,-0.122322,-0.243341,-0.115882,-0.373617,-0.247595,0.099408,-0.174121,-0.186441,-0.017519,-0.157654,0.053380,-0.312572,-0.032772,-0.106261,0.014207,-0.109374,-0.006638,-0.028480,-0.215186,-0.073273,0.368148,-0.400000,-0.028454,-0.352373,-0.172229,-0.900000,0.100741,0.087387,0.100000,0.022782,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.173958,0.306043,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,-0.385684,-0.192688,-0.381787,-0.556341,-0.388824,-0.338514,-0.493876,-0.241876,-0.370825,-0.303604,-0.498468,-0.044218,0.015914,-0.351872,-0.240770,-0.217616,-0.522253,-0.231224,-0.507932,-0.110927,-0.117196,-0.144218,-0.284086,-0.241085,-0.117378,-0.106638,-0.228480,-0.515186,-0.173273,0.268148,-0.140097
10=100,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.323968,-0.270342,-0.091981,-0.267907,-0.300000,-0.033098,0.005385,-0.226164,0.037106,-0.128725,0.071351,-0.244882,-0.031516,-0.321984,-0.142064,-0.260748,-0.136340,-0.387660,-0.263223,0.083567,-0.199219,-0.199908,-0.048906,-0.184581,0.025227,-0.333398,-0.073575,-0.127788,-0.009594,-0.130555,-0.028122,-0.058649,-0.246832,-0.098465,0.361092,-0.400000,-0.028454,-0.352373,-0.175818,-0.900000,0.100658,0.087387,0.100000,0.020250,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.166610,0.305372,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,-0.407298,-0.226833,-0.406033,-0.572304,-0.412288,-0.356457,-0.494557,-0.270556,-0.385178,-0.310246,-0.520861,-0.055814,-0.019188,-0.379442,-0.258462,-0.248992,-0.542002,-0.249977,-0.529273,-0.131935,-0.123656,-0.155814,-0.319188,-0.258742,-0.131516,-0.128122,-0.258649,-0.546832,-0.198465,0.261092,-0.153180
20=30,-0.143724,-0.100000,0.000000,-0.200000,0.050000,-0.399384,-0.204522,-0.100000,-0.250945,-0.300000,-0.048867,0.171461,0.300000,0.507084,0.400000,0.500000,0.200000,0.284074,0.200000,0.400000,0.153270,0.400000,-0.188938,0.117998,0.447124,0.300000,-0.023832,0.400000,0.300000,0.500000,0.200000,0.300000,0.400000,0.500000,0.400000,0.500000,0.400000,0.200000,0.400000,0.559508,-0.400000,-0.028454,-0.352373,-0.208779,-0.900000,0.100000,0.087387,0.100000,0.000000,-0.100000,0.000000,0.100000,0.064803,-0.043724,-0.500000,0.100000,0.100000,-0.170710,0.100000,0.199124,0.300000,0.100000,0.081689,0.000000,-0.292755,-0.000387,0.000000,-0.190771,0.127996,-0.100000,0.101268,0.200000,0.100000,-0.250732,0.100000,0.091886,-0.500000,0.200000,-0.166601,-0.373951,0.000000,0.057218,0.400000,0.100000,0.173840,0.200000,0.000000,0.250206,0.000000,0.400000,-0.142997,-0.042782,0.100000,0.171320,0.184074,0.400000,0.200000,-0.100000,0.300000,0.459508,0.084156
