,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,
10=20,-0.171027,0.000000,0.000000,-0.100000,-0.100000,-0.151122,-0.054307,0.195920,-0.062988,-0.133486,-0.253092,-0.161464,-0.248844,-0.163110,0.079196,0.338276,0.310706,0.100000,0.000000,-0.500000,-0.050317,-0.458134,-0.383637,-0.166868,-0.110982,-0.320765,-0.263266,0.140816,0.016351,-0.119882,0.057952,0.107787,-0.306891,0.045156,-0.222920,0.121946,-0.180590,0.122090,-0.008823,0.032305,-0.133486,0.078066,0.049078,0.102344,0.100000,0.141967,0.011092,0.071267,0.044719,-0.213529,-0.100000,-0.203163,0.000000,0.028973,0.062172,0.000000,0.000000,0.187750,0.000000,-0.069166,0.190917,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,-0.045321,-0.138370,-0.104003,-0.150000,0.296248,-0.273196,-0.353524,-0.151703,-0.250000,0.088367,-0.268505,-0.500000,-0.252403,0.750000,-0.412817,-0.113654,-0.141854,0.750000,-0.204551,-0.043135,-0.037189,-0.147071,-0.042179,-0.002219,-0.312817,-0.013654,-0.268321,-0.300000,0.021946,-0.280590,0.122090,-0.108823,0.032305,-0.053885
10=30,-0.171027,0.000000,0.000000,-0.100000,-0.100000,-0.115355,-0.039592,0.195920,0.018506,0.104619,-0.193744,-0.161464,-0.167360,-0.163110,0.207636,0.338276,0.310706,0.195582,0.186076,-0.370481,-0.050317,-0.305190,-0.266818,-0.155260,-0.053658,-0.258278,-0.219533,0.190353,0.065201,0.026536,0.057952,0.107787,-0.178469,0.071643,-0.165770,0.154884,-0.072332,0.122090,0.031839,0.032305,0.104619,0.113507,0.224539,0.210659,0.100000,0.141967,0.062658,0.066275,0.174897,-0.220090,-0.100000,-0.209224,0.000000,0.028973,0.188318,0.000000,0.000000,0.236984,0.000000,-0.069166,0.190917,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.127340,0.077490,-0.109249,-0.150000,0.296248,-0.229524,-0.261706,-0.151703,-0.250000,0.088367,-0.259252,-0.348783,-0.220933,0.750000,-0.305123,-0.071244,-0.096593,0.750000,-0.109995,-0.043135,-0.037189,-0.111260,-0.042179,-0.002219,-0.205123,0.028756,-0.132382,-0.204418,0.054884,-0.172332,0.122090,-0.068161,0.032305,-0.007576
10=40,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.101034,-0.034405,0.195920,0.045671,0.143828,-0.167069,-0.161464,-0.140198,-0.163110,0.244103,0.338276,0.310706,0.277081,0.222106,-0.327477,-0.050317,-0.267605,-0.227879,-0.151209,-0.023917,-0.170865,-0.204304,0.209214,0.082126,0.054859,0.057952,0.107787,-0.131694,0.081664,-0.140337,0.180247,-0.052564,0.122090,0.051548,0.032305,0.143828,0.130060,0.283026,0.233793,0.100000,0.170852,0.064695,0.064202,0.205992,-0.221880,-0.100000,-0.201891,0.000000,0.022464,0.230367,0.000000,0.000000,0.253395,0.000000,0.035234,0.190917,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.184893,0.128151,-0.101991,-0.150000,0.296248,-0.213530,-0.231100,-0.151703,-0.250000,0.088367,-0.256168,-0.304708,-0.193059,0.750000,-0.269225,-0.053054,-0.068436,0.750000,-0.078477,-0.043135,-0.037189,-0.091290,-0.042179,0.078481,-0.169225,0.046946,-0.096792,-0.122919,0.080247,-0.152564,0.122090,-0.048452,0.032305,0.010435
10=50,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.093318,-0.031755,0.309350,0.059253,0.168609,-0.151910,-0.161464,-0.126617,-0.163110,0.257111,0.338276,0.310706,0.305135,0.246813,-0.304431,-0.050317,-0.242888,-0.208409,-0.149148,-0.006181,-0.149426,-0.191380,0.223980,0.099445,0.070305,0.057952,0.107787,-0.108307,0.086933,-0.124096,0.194734,-0.033568,0.122090,0.063097,0.032305,0.168609,0.140449,0.312269,0.245361,0.100000,0.213431,0.064695,0.063066,0.221512,-0.222899,-0.100000,-0.198248,0.000000,0.022464,0.252508,0.000000,0.000000,0.261601,0.000000,0.078344,0.256048,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.213670,0.160113,-0.098551,-0.150000,0.296248,-0.200928,-0.215797,-0.151703,-0.250000,0.088367,-0.254626,-0.282670,-0.173528,0.750000,-0.251276,-0.042945,-0.051584,0.750000,-0.062717,-0.043135,-0.037189,-0.071112,-0.042179,0.133472,-0.151276,0.057055,-0.078998,-0.094865,0.094734,-0.133568,0.122090,-0.036903,0.032305,0.022231
10=60,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.088495,-0.030146,0.353391,0.067402,0.185591,-0.142133,-0.161464,-0.118469,-0.163110,0.275219,0.338276,0.310706,0.325584,0.264465,-0.287391,-0.050317,-0.225363,-0.196727,-0.147899,0.005598,-0.136563,-0.183069,0.240846,0.115508,0.088879,0.057952,0.107787,-0.094275,0.090183,-0.113338,0.204106,-0.018278,0.122090,0.070684,0.032305,0.185591,0.147520,0.329816,0.252301,0.100000,0.221516,0.064695,0.062350,0.233293,-0.223558,-0.100000,-0.196810,0.000000,0.022464,0.271458,0.000000,0.000000,0.266524,0.000000,0.096490,0.296957,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.230936,0.183077,-0.097140,-0.150000,0.296248,-0.192821,-0.206615,-0.151703,-0.250000,0.088367,-0.253701,-0.267697,-0.160146,0.750000,-0.240507,-0.036510,-0.040367,0.750000,-0.053262,-0.043135,-0.037189,-0.057241,-0.042179,0.155637,-0.140507,0.063490,-0.065210,-0.074416,0.104106,-0.118278,0.122090,-0.029316,0.032305,0.029623
10=70,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.085194,-0.029066,0.375459,0.072835,0.197955,-0.135304,-0.161464,-0.110264,-0.163110,0.289527,0.338276,0.310706,0.341643,0.277705,-0.274279,-0.050317,-0.212288,-0.188939,-0.147062,0.013990,-0.127568,-0.177275,0.253420,0.127559,0.103357,0.057952,0.107787,-0.084920,0.092387,-0.105687,0.210665,-0.006651,0.122090,0.076049,0.032305,0.197955,0.152643,0.341513,0.257412,0.100000,0.211661,0.064695,0.061857,0.246220,-0.224019,-0.100000,-0.195762,0.000000,0.022464,0.285264,0.000000,0.000000,0.269806,0.000000,0.108587,0.287414,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.242447,0.200374,-0.096113,-0.150000,0.296248,-0.187167,-0.200494,-0.151703,-0.250000,0.088367,-0.253084,-0.254965,-0.150404,0.750000,-0.230295,-0.032055,-0.032363,0.750000,-0.046301,-0.043135,-0.037189,-0.047120,-0.042179,0.170414,-0.130295,0.067945,-0.054684,-0.058357,0.110665,-0.106651,0.122090,-0.023951,0.032305,0.034462
10=80,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.082794,-0.028291,0.390099,0.076716,0.207360,-0.130264,-0.161464,-0.103527,-0.163110,0.301067,0.338276,0.310706,0.354588,0.288005,-0.263878,-0.050317,-0.202160,-0.183377,-0.146461,0.020272,-0.116160,-0.173005,0.263155,0.136933,0.114959,0.057952,0.107787,-0.078238,0.093980,-0.099968,0.215513,0.002488,0.122090,0.080044,0.032305,0.207360,0.156525,0.349868,0.266568,0.100000,0.210062,0.066283,0.061497,0.256274,-0.224359,-0.100000,-0.194964,0.000000,0.022464,0.295772,0.000000,0.000000,0.272151,0.000000,0.117228,0.294212,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.250668,0.213872,-0.095331,-0.150000,0.296248,-0.182999,-0.196122,-0.151703,-0.250000,0.088367,-0.252644,-0.244981,-0.142996,0.750000,-0.221875,-0.028787,-0.026364,0.750000,-0.040384,-0.043135,-0.037189,-0.039409,-0.042179,0.180968,-0.121875,0.071213,-0.046569,-0.045412,0.115513,-0.097512,0.122090,-0.019956,0.032305,0.038459
10=90,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.080969,-0.027707,0.401136,0.079627,0.216407,-0.126392,-0.161464,-0.098266,-0.163110,0.310571,0.338276,0.310706,0.365246,0.296245,-0.255426,-0.050317,-0.194084,-0.179205,-0.146009,0.025152,-0.105292,-0.169727,0.270915,0.144434,0.124466,0.057952,0.107787,-0.072470,0.095186,-0.095530,0.219241,0.009860,0.122090,0.083134,0.032305,0.216407,0.159569,0.356135,0.274166,0.100000,0.213534,0.067450,0.061222,0.264319,-0.224621,-0.100000,-0.194337,0.000000,0.022464,0.304037,0.000000,0.000000,0.273909,0.000000,0.124628,0.299447,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.256835,0.224698,-0.094717,-0.150000,0.296248,-0.179800,-0.192842,-0.151703,-0.250000,0.088367,-0.252313,-0.236943,-0.137171,0.750000,-0.215207,-0.026288,-0.021702,0.750000,-0.033972,-0.043135,-0.037189,-0.033339,-0.042179,0.188885,-0.115207,0.073712,-0.040121,-0.034754,0.119241,-0.090140,0.122090,-0.016866,0.032305,0.041738
10=100,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.079535,-0.027252,0.410610,0.081890,0.227822,-0.123324,-0.161464,-0.094043,-0.163110,0.318534,0.338276,0.310706,0.374172,0.302987,-0.248422,-0.050317,-0.187493,-0.175960,-0.145657,0.029050,-0.096025,-0.167132,0.277245,0.150571,0.132397,0.057952,0.107787,-0.067210,0.096130,-0.091987,0.222198,0.015934,0.122090,0.085595,0.032305,0.227822,0.162020,0.361009,0.280572,0.100000,0.216525,0.067131,0.061005,0.270901,-0.224828,-0.100000,-0.193909,0.000000,0.022464,0.310708,0.000000,0.000000,0.275277,0.000000,0.132110,0.304221,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.261631,0.233574,-0.094309,-0.150000,0.296248,-0.177267,-0.190292,-0.151703,-0.250000,0.088367,-0.252056,-0.230332,-0.132472,0.750000,-0.209796,-0.024315,-0.017973,0.750000,-0.025633,-0.043135,-0.037189,-0.028437,-0.042179,0.196737,-0.109796,0.075685,-0.034875,-0.025828,0.122198,-0.084066,0.122090,-0.014405,0.032305,0.044550
20=30,-0.171027,0.000000,0.000000,-0.100000,-0.100000,-0.067583,-0.023569,0.195920,0.100000,0.298394,-0.096838,-0.161464,-0.055465,-0.163110,0.249390,0.338276,0.310706,0.252336,0.369143,-0.305150,-0.050317,-0.122411,-0.150000,-0.142814,0.063965,-0.216167,-0.144807,0.339656,0.211980,0.082899,0.057952,0.107787,-0.110564,0.103887,-0.060366,0.247817,0.078775,0.122090,0.107331,0.032305,0.298394,0.218557,0.400000,0.241668,0.100000,0.141967,0.064695,0.059183,0.392806,-0.226622,-0.100000,-0.205201,0.000000,0.028973,0.373210,0.000000,0.000000,0.292289,0.000000,-0.069166,0.190917,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.300000,0.278540,-0.105614,-0.150000,0.296248,-0.155460,-0.152760,-0.151703,-0.250000,0.088367,-0.250000,-0.233150,-0.088526,0.750000,-0.157772,-0.007541,0.015515,0.750000,0.063389,-0.043135,-0.037189,0.017637,-0.042179,-0.002219,-0.057772,0.092459,0.035075,-0.147664,0.147817,-0.021225,0.122090,0.007331,0.032305,0.047149
20=40,-0.177536,0.000000,0.000000,-0.100000,-0.100000,-0.067583,-0.023569,0.195920,0.100000,0.325649,-0.096838,-0.161464,-0.055465,-0.163110,0.297515,0.338276,0.310706,0.326298,0.369788,-0.255989,-0.050317,-0.122411,-0.150000,-0.142814,0.063965,-0.142637,-0.144807,0.339656,0.211980,0.134505,0.057952,0.107787,-0.073950,0.103887,-0.060366,0.247817,0.078775,0.122090,0.107331,0.032305,0.325649,0.218557,0.400000,0.268443,0.100000,0.182126,0.064695,0.059183,0.392806,-0.226622,-0.100000,-0.205201,0.000000,0.022464,0.373210,0.000000,0.000000,0.292289,0.000000,0.064935,0.190917,0.000000,0.000000,0.000000,0.141402,0.000000,0.000000,0.300000,0.299791,-0.105614,-0.150000,0.296248,-0.155460,-0.152760,-0.151703,-0.250000,0.088367,-0.250000,-0.201942,-0.088526,0.750000,-0.157772,-0.007541,0.015515,0.750000,0.063389,-0.043135,-0.037189,0.017637,-0.042179,0.102760,-0.057772,0.092459,0.035075,-0.073702,0.147817,-0.021225,0.122090,0.007331,0.032305,0.055225
